	.id	set1	set2	intersect	len_set1	len_set2	background	FET.p.val	rank	TF	prev_rank
0	Enrichr	TCGA-04-1331-01	FOXM1	6	300	299	20000	0.29314854815246005	1	FOXM1	0.000847457627118644
1	GTEx	TCGA-04-1331-01	ASCL1_GTEX_PEARSON	7	300	300	20000	0.1660156024764465	2	ASCL1	0.0012121212121212121
2	ARCHS4	TCGA-04-1331-01	FOXD4L3_ARCHS4_PEARSON	7	300	300	20000	0.1660156024764465	3	FOXD4L3	0.0013020833333333333
3	Enrichr	TCGA-04-1331-01	TCF19	6	300	299	20000	0.29314854815246005	4	TCF19	0.001694915254237288
4	ChEA	TCGA-04-1331-01	IKZF1_21737484_CHIPCHIP_HCT116_HUMAN	3	300	139	20000	0.3465518520937811	5	IKZF1	0.002386634844868735
5	GTEx	TCGA-04-1331-01	NKX24_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	6	NKX24	0.0024242424242424242
6	Enrichr	TCGA-04-1331-01	MXD3	6	300	299	20000	0.29314854815246005	7	MXD3	0.002542372881355932
7	ARCHS4	TCGA-04-1331-01	ARX_ARCHS4_PEARSON	7	300	300	20000	0.1660156024764465	8	ARX	0.0026041666666666665
8	ReMap	TCGA-04-1331-01	ZNF165	5	300	357	20000	0.6230740933884432	9	ZNF165	0.003389830508474576
9	Enrichr	TCGA-04-1331-01	RAD51	6	300	299	20000	0.29314854815246005	10	RAD51	0.003389830508474576
10	GTEx	TCGA-04-1331-01	GPBP1_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	11	GPBP1	0.0036363636363636364
11	ARCHS4	TCGA-04-1331-01	SATB2_ARCHS4_PEARSON	6	300	300	20000	0.2957430980494382	12	SATB2	0.00390625
12	Enrichr	TCGA-04-1331-01	E2F1	6	300	299	20000	0.29314854815246005	13	E2F1	0.00423728813559322
13	ChEA	TCGA-04-1331-01	SALL1_21062744_CHIPCHIP_HESCS_HUMAN	2	300	85	20000	0.3652308162877484	14	SALL1	0.00477326968973747
14	GTEx	TCGA-04-1331-01	ZNF43_GTEX_PEARSON	6	300	300	20000	0.2957430980494382	15	ZNF43	0.0048484848484848485
